Height,Weight,Age,Score,Group,y
168.81814801189648,66.8589104136048,31.81223647471056,51.0,B,average
168.25891147912682,64.48624252946193,28.50439154908385,81.0,B,excellent
161.42420247188733,55.184434736772666,23.047821669899484,67.0,A,good
169.5133951161443,62.25739375624995,28.393232321183056,25.0,B,poor
182.54132942983327,71.19780945333486,38.724474360456114,66.0,C,good
162.4472638013878,59.928252270553,21.210276357557504,52.0,A,average
170.3606777370294,64.15053896732518,28.188187719962,46.0,B,average
170.6410817430593,63.83891566359627,30.161529152967898,72.0,B,good
170.16764855380447,64.67887342037379,27.45144885027204,81.0,B,excellent
164.17651247794618,56.60390032485868,20.93259255199927,79.0,A,good
167.20387570777382,64.95446471594121,30.387821809211413,43.0,B,average
160.08293914463928,57.560465291496406,21.13247887598969,54.0,A,average
170.22586395204726,62.87183214502496,30.45468869051233,67.0,B,good
161.9336767315027,59.68364994368368,20.687604720729965,80.0,A,excellent
179.70533175525128,70.56736760620295,42.623468091392816,50.0,C,average
182.3866967669049,71.28970813857578,41.2999202301709,56.0,C,average
182.0861110010061,72.77600405799731,40.64825289178003,38.0,C,poor
179.20926145450227,70.4655138390295,42.48607878976664,36.0,C,poor
171.50209028581665,65.16550728636633,28.695148955243504,76.0,B,good
161.7460478730633,57.29328911422713,24.48555129976289,87.0,A,excellent
182.4354321213256,73.89937772928812,41.21015823077144,59.0,C,average
160.42069982497523,55.80814357047307,24.4927709426354,80.0,A,excellent
181.032145298298,70.04598525808315,38.50735771433016,67.0,C,good
163.3175088455403,55.025307919231096,20.804040257087493,47.0,A,average
162.74366894683294,58.45947598846347,22.927629109414923,67.0,A,good
179.1213465473028,73.56089610673767,39.186245437484,91.0,C,excellent
179.62699849079632,73.73245702559012,41.24816449523608,59.0,C,average
171.24611705247088,64.82113053163177,29.84154301667736,91.0,B,excellent
167.46837383914047,63.83857901529717,28.326011838408625,10.0,B,poor
161.21994821689543,59.86505277376223,21.9654886233338,76.0,A,good
182.4602327758856,73.15569312998632,40.759054808627816,62.0,C,good
162.51318546552596,57.88451942313179,22.46258846909432,54.0,A,average
160.9762149389902,58.61226057630753,21.40386181220428,62.0,A,good
167.12157983215727,65.22736147953584,29.06599660569473,20.0,B,poor
182.70229292176447,74.76964288501294,42.57432195110224,56.0,C,average
161.85079350127722,55.077283082644335,24.641592812938622,67.0,A,good
180.14092074158657,74.83327409521834,42.818099885446266,90.0,C,excellent
164.2650472773368,56.47224446034793,21.925488643009626,50.0,A,average
171.25568335758427,63.58461002578139,27.847463733430462,44.0,B,average
181.28307434581447,74.6807738708039,41.48014898337487,50.0,C,average
180.85030585044683,70.48588246885384,41.07503613349585,78.0,C,good
164.95026925052133,55.70042007618262,22.591648261818683,67.0,A,good
171.38686535963978,65.70384308877102,30.48507870497634,49.0,B,average
163.51242041993555,56.79745575609878,21.467959221322467,70.0,A,good
171.04680577739256,66.0505669733959,31.33536159290052,62.0,B,good
171.56620276278235,64.55671199430469,29.507581473436,79.0,B,good
170.99147589483388,65.24981965388882,30.50983438628852,46.0,B,average
163.9789633471805,59.45002670908783,21.68997578425768,53.0,A,average
161.87791476319973,55.46990969920434,22.89140070498087,52.0,A,average
160.1797113689837,57.3279900906623,22.713223173537884,31.0,A,poor
179.43270626064142,72.95416630284505,38.15250124969525,66.0,C,good
160.18674094374606,59.11300280329829,21.80095320705632,65.0,A,good
160.63530256325942,57.61121630027402,23.84996776549305,60.0,A,good
179.07910513748422,73.114452379095,38.42673732496884,55.0,C,average
160.25840860584304,57.65677315784074,22.70317560805053,32.0,A,poor
170.18714950749103,65.6304566686133,31.87926039731268,52.0,B,average
169.58150174150595,63.61478236470623,30.97593097384352,53.0,B,average
168.35416125631036,64.19485710352818,27.39228190671133,44.0,B,average
167.1267537170773,66.81324207338963,31.17990060256103,57.0,B,average
181.4798710304685,72.04476472207135,38.86647160035423,68.0,C,good
160.78218521335543,56.251214490822974,22.746133323530604,98.0,A,excellent
163.5729796135003,58.300986883588656,21.39966948472972,63.0,A,good
164.77432640331597,58.68948458347885,22.771770262557,65.0,A,good
163.05860373117176,57.09800031213895,21.238654947505783,59.0,A,average
161.7798633932563,58.78923055232185,20.07196744314878,22.0,A,poor
167.58036320253458,62.230013210108766,27.20364401159485,59.0,B,average
170.07600769950596,65.51828929690012,29.370869145436625,61.0,B,good
160.489170803255,57.45807937558416,22.36735885390283,100.0,A,excellent
160.86600934955007,57.16925824618986,21.992523671986863,56.0,A,average
163.07925049026107,58.17546825433822,20.226520048860223,66.0,A,good
168.87306307313236,65.12929957857118,29.51568129290044,59.0,B,average
171.28244920594162,65.29346815809473,27.81467213540715,37.0,B,poor
167.35284373700216,65.21209639103158,27.13255655270811,83.0,B,excellent
180.9288779063673,74.70115120712478,40.87737088937939,75.0,C,good
161.94084963103262,58.21644109221177,22.291264452457582,76.0,A,good
162.7280839465797,59.70732404388262,21.860761196583667,42.0,A,average
164.80595281911957,59.52675320978032,20.978955673946484,88.0,A,excellent
167.34680650437582,62.50389000688713,27.09110912825775,32.0,B,poor
178.47221480377965,73.41503386708179,38.35594324230114,72.0,C,good
161.5948781514688,59.22437655484728,20.116359678679128,100.0,A,excellent
171.0723424129447,63.409273873867,27.59082413810828,40.0,B,average
163.48368582682076,58.14471423389942,24.387360067635264,49.0,A,average
163.67535521901942,59.017404651924245,21.41017286285653,62.0,A,good
178.88719771889862,73.7530737582043,42.03417369633632,50.0,C,average
171.95252571000336,64.06308838455713,28.860090428963915,29.0,B,poor
170.88206480371,63.70401770126509,31.653786628017823,61.0,B,good
164.29206375921507,57.14497013687509,23.754355338957488,39.0,A,poor
181.77271437042344,70.51561934417967,42.51276453339784,69.0,C,good
162.5262618622393,59.13228733053871,21.60024800515306,42.0,A,average
164.477616142481,56.946008393670816,20.05418825740149,91.0,A,excellent
171.5269098820963,62.456433383930666,28.59656818795208,44.0,B,average
171.75030983525403,66.75303573468778,29.867189440616432,54.0,B,average
169.92123719511562,64.2422276098916,28.466053858490323,76.0,B,good
161.6433227268496,58.36259228038519,23.7618726471884,35.0,A,poor
170.95789521862923,65.94809071397277,27.45603051524345,65.0,B,good
180.4721015235129,70.28779380008322,40.74764441161868,86.0,C,excellent
180.20765250686688,74.43852091379149,39.7545750627604,28.0,C,poor
180.4976409227278,70.71495841026417,41.80755315858736,64.0,C,good
170.0910903165813,62.50561338061395,27.420534030574988,65.0,B,good
181.5048456572956,70.36381503182096,42.10930029645178,76.0,C,good
163.53121113578248,55.4067439032095,20.42418857042596,35.0,A,poor
171.9331978925059,63.87135397878061,28.853210735334454,34.0,B,poor
182.0639978362875,74.7362428869193,42.93000531911436,70.0,C,good
181.7668909262947,71.88129792765457,38.41750358349334,66.0,C,good
163.8857345796372,57.79202124867903,22.12111004623488,65.0,A,good
171.5317719254737,62.55598741153076,29.46312552145429,67.0,B,good
178.05676822383708,72.34330320997063,38.28151637840919,46.0,C,average
160.59408958134037,55.58763123388552,23.24605151058032,65.0,A,good
181.73022439632712,72.9168438254858,42.81086274237271,66.0,C,good
161.8743528976185,56.4285604314093,24.3429956409473,46.0,A,average
161.11797919259726,59.81611269720305,20.060772373449083,97.0,A,excellent
171.8493941335382,62.21579955975288,31.455715568490355,69.0,B,good
162.63850554543149,59.9648239805965,20.368982823677,36.0,A,poor
169.7692714220066,66.8465126780955,29.615489220850744,73.0,B,good
170.1469931906763,65.47874344492308,29.272705323838867,41.0,B,average
163.13779040042033,57.9215715596155,24.505790052454945,76.0,A,good
178.22723190170728,71.40481594796115,42.7520574203828,83.0,C,excellent
182.4513189194546,72.27828376392857,41.10066298900768,44.0,C,average
168.38690591490567,62.940605798618805,29.31849202469991,79.0,B,good
179.76676114013026,72.91828055925436,38.38867318482493,68.0,C,good
182.8719740383308,74.93105372239802,41.49080857009873,76.0,C,good
180.6804818317206,71.54763808143164,42.06897509853474,98.0,C,excellent
170.4236558627694,62.81308469672446,31.554635922469213,55.0,B,average
171.11268621461585,66.74899956645962,30.6285975419418,45.0,B,average
170.06707597967895,64.0912151814531,31.663642416770067,42.0,B,average
182.33031944750203,70.22609335053095,38.13183487248626,44.0,C,average
161.88231683439025,59.05276665390917,24.93638064657472,58.0,A,average
160.75208445551763,57.97065357676068,21.904454283155108,67.0,A,good
171.849571989073,66.21059461567854,31.19164352355569,66.0,B,good
180.34346579897485,72.07409751168832,39.36703535965353,77.0,C,good
178.28187748325465,74.32361188127527,42.06450504565039,60.0,C,good
182.99858836643065,74.98318418536952,40.77715852801314,89.0,C,excellent
181.8449370759025,74.72382864941214,42.24823695338706,55.0,C,average
179.236740508716,72.25272067655047,38.64579707575747,100.0,C,excellent
171.7702551362936,65.0308731722544,28.14321402751732,73.0,B,good
181.3585034220293,73.09064120228948,39.790813590164205,43.0,C,average
160.56778796099815,58.357865977964,22.601538504518967,39.0,A,poor
170.8615919586782,64.60081750555997,31.2609075015927,70.0,B,good
162.75953419387244,57.80468985767693,24.38326801329173,56.0,A,average
180.017414331062,70.67007614225321,38.1439133815667,74.0,C,good
170.77568627836808,65.10154775676732,30.52039884049612,69.0,B,good
168.06482080754455,62.68185737793385,27.07272332833941,59.0,B,average
161.752937794033,57.94958843427317,21.96122022549866,43.0,A,average
180.18737461011864,74.52079347246874,39.7412773351165,30.0,C,poor
180.56994744579904,73.91826506370572,39.98271391160635,51.0,C,average
170.11043350113937,66.31181854373372,31.74760311828821,77.0,B,good
167.7353674046452,66.63293812580747,29.46058146539769,64.0,B,good
161.2912219414948,57.295678781191306,24.900162876427387,35.0,A,poor
180.4630904699644,71.64375805143754,41.16700427158363,63.0,C,good
168.20072809389097,62.37931664054332,27.64439860955325,68.0,B,good
178.64022919478887,70.75951346756148,38.69413586324705,42.0,C,average
163.20437372401608,55.90940042199573,21.72833641661932,63.0,A,good
164.48394204953007,57.36980820131436,23.337788692605137,61.0,A,good
167.86159935600816,62.96144509404336,27.2043430813324,37.0,B,poor
